Qty,Reference, Value,Package, Part Number, Manufacturer, Vendor, Vendor Part Number
6,"C5-C6, C9-C10, C11-C12",10nF,603,GCM188R72A103KA7D,Murata Electronics,Mouser,81-GCM188R72A103KA7D
1,C4,68nF,603,GCJ188R92A683KA01D,Murata Electronics,Mouser,81-GCJ188R92A683KA1D
4,"C2-C3, C7-C8",0.47uF,603,GRM188R71C474KA88,Murata Electronics,Mouser,81-GRM188R71C474KA88
1,C1,1uF,805,GRJ21BC72A105KE11L,Murata Electronics,Mouser,81-GRJ21BC72A105KE1L
1,R7,47,603,RC0603FR-0747RL,Yageo,Mouser,603-RC0603FR-0747RL
2,R2-R3,4.7k,603,RC0603JR-074K7L,Yageo,Mouser,603-RC0603JR-074K7L
2,R5-R6,10k,603,RC0603JR-0710KL,Yageo,Mouser,603-RC0603JR-0710KL
6,"R8-R9, R10-R13",47k,603,603-RC0603JR-0747KL,Yageo,Mouser,603-RC0603JR-0747KL
1,R4,1.27M,603,CRCW06031M27FKEA,Vishay,Mouser,71-CRCW06031M27FKEA
1,R1,2.15M,603,CRCW06032M15FKEA,Vishay,Mouser,71-CRCW06032M15FKEA
2,D2-D3,BAT54S,SOT-23,BAT54S,Nexperia,Mouser,771-BAT54S-T/R
1,D1,SM15T33CA,SMC,SM15T33CA,ST,Mouser,511-SM15T33CA
1,D4,ZRC330,SOT-23,ZRC330F01TA,Diodes Inc.,Mouser,522-ZRC330F01TA
1,U3,ATXMEGA8E5-M4U,QFN-32-1EP,ATXMEGA8E5-M4U,Atmel,Mouser,556-ATXMEGA8E5-M4U
1,U2,BTS7008-2EPA,PG-TSDSO-14-22,BTS70082EPAXUMA1,Infineon,Mouser,726-BTS70082EPAXUMA1
1,U1,LT3014IDD,DFN-8-1EP,LT3014BHVIDD#PBF,Linear Tech,Digikey,LT3014BHVIDD#PBF-ND
1,J9,Header,6-Pin Header,20021121-00006C4LF,Amphenol/FCi,Mouser,649-202112100006C4LF
